Customer_id;Customer_name;Address_line1
Sinar Jaya Abadi Siantan Hulu 2;Sinar Jaya Abadi Siantan Hulu 2;Jl. Sei Ambawang 
Sinar Maju Siantan Hulu 2;Sinar Maju Siantan Hulu 2;Jl. Selat panjang Kel. Siantan Hulu Kec. Pontianak Utara
Sinar Timur Singkawang 2;Sinar Timur Singkawang 2;Jl. Tani Kel. Singkawang Kec. -
Sumber Abadi Sanggau 2;Sumber Abadi Sanggau 2;Jl. Kartini No. 52 Kel. Sanggau Kec. - 
Sumber Bangunan Pemangkat 2;Sumber Bangunan Pemangkat 2;Jl. Selakau Kel. Selakau Pemangkat 
Suparman Sungai Raya 2;Suparman Sungai Raya 2;Jl. Adi Sucipto Kel. Sungai Raya Kec. Pontianak Tenggara
Syahril Kubu Raya 2;Syahril Kubu Raya 2;Jl. Trans Kalimantan KEl. Kubu Raya Kec. -
Timur Jaya Kubu Raya 2;Timur Jaya Kubu Raya 2;Jl. A. Yani 2 (Sebelah Nasi Akuang) Kel. Kubu Raya Kec. Pontianak Selatan
Tree Jaya Sekadu 2;Tree Jaya Sekadu 2;Jl. Raya Sekadau Kel. Sekadau Kec. - 
Tri Mobil Bangka Belitung 2;Tri Mobil Bangka Belitung 2;Jl. Paris 2 Kel. Bangka Belitung Kec. Pontianak Utara 
Usaha Jaya Singkawang 2;Usaha Jaya Singkawang 2;Jl. Kulor Roban Samping Kiri SPBU Kel. Singkawang Kec. -
Waily Kubu Raya 2;Waily Kubu Raya 2;Jl. A. Yani Kel. Kubu Raya Kec. -
Walet Jaya Sui Pinyuh 2;Walet Jaya Sui Pinyuh 2;Jl. Jurusan Mempawah Kel. Sui Pinuh 2 Kec. -
Yam Leng Parit Tokaya 2;Yam Leng Parit Tokaya 2;Jl. Karya Baru 5 Kel. Parit Tokaya Kec. Pontianak Selatan 
Yong An Benua Melayu Darat 2;Yong An Benua Melayu Darat 2;Jl. Sultan Muhammad No. 101 Kel. Benua Melayu Darat Kec. Pontianak Selatan
Yuda Kanaya Kubu Raya 2;Yuda Kanaya Kubu Raya 2;Jl. Trans Kalimantan Kel. Kubu Raya Kec. Ambawang
